annee,accidents,tues,blesses_graves,taux_mortalite
2010,4863.0,760.0,2108.0,156.3
2011,5986.0,791.0,2434.0,132.1
2012,5740.0,658.0,2297.0,114.6
2013,5473.0,688.0,2222.0,125.7
2014,6169.0,670.0,2460.0,108.6
2015,5992.0,637.0,2220.0,106.3
2016,5938.0,629.0,2025.0,105.9
2017,5702.0,669.0,1823.0,117.3
2018,5386.0,740.0,1893.0,137.4
2019,5345.0,817.0,2045.0,152.9
2020,4537.0,902.0,2047.0,198.8
2021,5217.0,1141.0,2545.0,218.7
2022,4894.0,1224.0,2456.0,250.1
